"Price Quartiles and Averages for Unabsorbed Homeowner and Condominium Units by Dwelling Type and Census Subdivision for Centres 50,000+",,,,,,,,,,,,,,
"Quartiles et moyens de prix pour les propriétaires-occupants et des copropriétés non-écoulées selon la type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus",,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Single - Individuels,,,,Semi-detached - Jumelés,,,,Single and Semi-detached - Individuels et Jumelés,,,
Province,Centre,"Census Subdivision
Subdivision de recensement","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
T3","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
T3","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
Que/Qc,Montréal,Dollard-Des Ormeaux (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Saint-Mathieu (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Saint-Philippe (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,La Prairie (V),--,--,--,--,"379,562",--,--,--,"379,562",--,--,--
Que/Qc,Montréal,Candiac (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Delson (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Sainte-Catherine (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Saint-Constant (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Saint-Isidore (PE),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Mercier (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Châteauguay (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Léry (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Beauharnois (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Saint-Zotique (MÉ),--,--,--,--,"223,228",--,--,--,"223,228",--,--,--
Que/Qc,Montréal,Les Coteaux (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Coteau-du-Lac (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Les Cèdres (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Pointe-des-Cascades (VL),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,L'Île-Perrot (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Notre-Dame-de-l'Île-Perrot (V),--,--,--,--,--,--,--,--,--,--,--,--
