"Price Quartiles and Averages for Absorbed Homeowner and Condominium Units by Dwelling Type and Census Subdivision for Centres 50,000+",,,,,,,,,,,,,,
"Quartiles et moyens de prix pour les propriétaires-occupants et des copropriétés écoulées selon la type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus",,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Single - Individuels,,,,Semi-detached - Jumelés,,,,Single and Semi-detached - Individuels et Jumelés,,,
Province,Centre,"Census Subdivision
Subdivision de recensement","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
T3","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
T3","Mean
Moyenne","Q1
T1","Median
Médiane","Q3
Que/Qc,Montréal,Mirabel (V),"389,273","325,000","385,000","450,000","275,486",--,--,--,"378,547","325,000","385,000","450,000"
Que/Qc,Montréal,Saint-Colomban (V),"318,213",--,--,--,--,--,--,--,"318,213",--,--,--
Que/Qc,Montréal,Saint-Jérôme (V),"314,215",--,--,--,"218,520",--,--,--,"306,965",--,--,--
Que/Qc,Montréal,Gore (CT),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Montréal,Total,"452,964","315,000","400,000","500,000","334,906","275,000","315,000","380,000","415,656","295,000","365,000","470,000"
Que/Qc,Gatineau,Thurso (V),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Gatineau,Lochaber (CT),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Gatineau,Lochaber-Partie-Ouest (CT),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Gatineau,Mayo (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Gatineau,Val-des-Bois (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Gatineau,Bowman (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Gatineau,Gatineau (V),"430,583","367,500","430,000","515,000","293,834","255,000","295,000","330,000","352,915","265,000","320,000","375,000"
Que/Qc,Gatineau,L'Ange-Gardien (MÉ),"317,989",--,--,--,--,--,--,--,"317,989",--,--,--
Que/Qc,Gatineau,Notre-Dame-de-la-Salette (MÉ),--,--,--,--,--,--,--,--,--,--,--,--
Que/Qc,Gatineau,Val-des-Monts (MÉ),"341,173",--,--,--,--,--,--,--,"341,173",--,--,--
Que/Qc,Gatineau,Cantley (MÉ),"412,217",--,--,--,--,--,--,--,"412,217",--,--,--
